ID,Container_ID,Familiar_diet,Genetic_line,Treatment,Sex,Replicate,List,Body weight,bw,Head width,Scutum length,ow,ow_g,ag,ag_g,tw,tw_g,lg_bw,lg_ow,lg_tw,lg_ag,GSI,ag_gonad_ratio,Operator
SWS_CF1_26,SW_CF_1,CF,SW,CF,M,1,b,0.05283,52.83,54,76,,,2.46,0.00246,3.96,0.00396,1.722880611,,0.597695186,0.390935107,0.074957411,0.621212121,Y
SWS_CF1_04,SW_CF_1,CF,SW,CF,M,1,c,0.06286,62.86,53,72,,,1.7,0.0017,3.24,0.00324,1.798374377,,0.51054501,0.230448921,0.051543112,0.524691358,Y
SWS_CF1_16,SW_CF_1,CF,SW,CF,M,1,d,0.05502,55.02,51,74,,,1.96,0.00196,2.75,0.00275,1.740520586,,0.439332694,0.292256071,0.049981825,0.712727273,Y
SWS_CF1_27,SW_CF_1,CF,SW,CF,M,1,e,0.03502,35.02,47,63,,,0.46,0.00046,2.26,0.00226,1.544316142,,0.354108439,-0.337242168,0.064534552,0.203539823,Y
SWS_CF1_11,SW_CF_1,CF,SW,CF,M,1,f,0.05803,58.03,55,75,,,2.83,0.00283,1.73,0.00173,1.763652571,,0.238046103,0.451786436,0.029812166,1.63583815,Y
SWS_CF1_18,SW_CF_1,CF,SW,CF,M,1,g,0.04741,47.41,53,74,,,1.71,0.00171,1.99,0.00199,1.675869955,,0.298853076,0.23299611,0.041974267,0.859296482,Y
SWS_CF1_37,SW_CF_1,CF,SW,CF,M,1,h,0.03788,37.88,49,66,,,1.88,0.00188,5.14,0.00514,1.57840997,,0.710963119,0.274157849,0.135691658,0.365758755,Y
SWS_CF1_06,SW_CF_1,CF,SW,CF,M,1,j,0.06161,61.61,52,73,,,1.45,0.00145,3.33,0.00333,1.789651209,,0.522444234,0.161368002,0.054049667,0.435435435,Y
SWS_CF1_03,SW_CF_1,CF,SW,CF,M,1,k,0.03152,31.52,48,69,,,2.23,0.00223,2.55,0.00255,1.498586209,,0.40654018,0.348304863,0.080901015,0.874509804,Y
SWS_CF1_09,SW_CF_1,CF,SW,CF,M,1,l,0.04785,47.85,52,76,,,2.42,0.00242,3.74,0.00374,1.679881942,,0.572871602,0.383815366,0.07816092,0.647058824,Y
SWS_CF1_22,SW_CF_1,CF,SW,CF,M,1,m,0.0505,50.5,51,73,,,2.31,0.00231,2.83,0.00283,1.703291378,,0.451786436,0.36361198,0.056039604,0.816254417,Y
SWS_CF2_04,SW_CF_2,CF,SW,CF,M,2,a,0.05623,56.23,53,76,,,3.04,0.00304,0.98,0.00098,1.749968084,,-0.008773924,0.482873584,0.017428419,3.102040816,Y
SWS_CF2_07,SW_CF_2,CF,SW,CF,M,2,b,0.0412,41.2,53,77,,,3.05,0.00305,2.06,0.00206,1.614897216,,0.31386722,0.484299839,0.05,1.480582524,Y
SWS_CF2_10,SW_CF_2,CF,SW,CF,M,2,c,0.07058,70.58,53,75,,,3.32,0.00332,1.79,0.00179,1.848681654,,0.252853031,0.521138084,0.025361292,1.854748603,Y
SWS_CF2_11,SW_CF_2,CF,SW,CF,M,2,d,0.06863,68.63,55,81,,,2.97,0.00297,1.16,0.00116,1.836513999,,0.064457989,0.472756449,0.016902229,2.560344828,Y
SWS_CF2_12,SW_CF_2,CF,SW,CF,M,2,e,0.06346,63.46,54,74,,,3.51,0.00351,1.62,0.00162,1.802500068,,0.209515015,0.545307116,0.025527892,2.166666667,Y
SWS_CF2_14,SW_CF_2,CF,SW,CF,M,2,f,0.05482,54.82,51,71,,,3.03,0.00303,1.41,0.00141,1.738939031,,0.149219113,0.481442629,0.02572054,2.14893617,Y
SWS_CF2_15,SW_CF_2,CF,SW,CF,M,2,g,0.07893,78.93,56,84,,,3.91,0.00391,3.05,0.00305,1.897242103,,0.484299839,0.592176757,0.038641835,1.281967213,Y
SWS_CF2_16,SW_CF_2,CF,SW,CF,M,2,h,0.04927,49.27,50,73,,,2.92,0.00292,1.48,0.00148,1.692582562,,0.170261715,0.465382851,0.030038563,1.972972973,Y
SWS_CF2_02,SW_CF_2,CF,SW,CF,M,2,j,0.05539,55.39,54,82,,,3.08,0.00308,1.49,0.00149,1.743431365,,0.173186268,0.488550717,0.026900162,2.067114094,Y
SWS_CF3_05,SW_CF_3,CF,SW,CF,M,3,a,0.06162,61.62,54,79,,,1.08,0.00108,1.32,0.00132,1.789721694,,0.120573931,0.033423755,0.021421616,0.818181818,Y
